wav_filename,wav_filesize,transcript
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_04.wav,189798,after complex food has been broken down into smaller components it needs to be
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_05.wav,197320,absorbed into the blood and lymph so that it can be transported throughout the body
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_06.wav,327724,although absorption takes place in different parts of the alimentary canal such as the mouth stomach small intestine and large intestine
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_08.wav,203172,the villi on the intestinal wall increase the surface area of the small intestine
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_09.wav,309334,and help to efficiently absorb the digested nutrients such as such as glucose fructose amino acids and electrolytes
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_10.wav,289272,these nutrients from the food pass through the intestinal mucosa into the bloodstream and are distributed throughout the body
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_11.wav,245804,absorption takes place in the intestinal mucosa through passive transport and active transport
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_13.wav,337756,there are three types of passive transport simple diffusion facilitated transport and osmosis that assist in absorption
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_14.wav,381222,small amounts of glucose amino acids and electrolytes such as chloride ions are generally absorbed from a higher to a lower medium by simple diffusion
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_15.wav,331904,whereas fructose and some amino acids are absorbed down a concentration gradient with the help of a specific carrier protein through facilitated diffusion
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_16.wav,252492,on the other hand transport of water takes place from a dilute to a concentrated medium through osmosis
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_17.wav,185618,absorption also takes place from a lower to a higher medium through active transport
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_19.wav,281748,nutrients such as sodium ions glucose galactose and amino acids are transported actively
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_20.wav,201500,unlike carbohydrates and proteins fats are not absorbed through the intestinal villi
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_21.wav,276732,fatty acids and glycerol are insoluble in water and therefore cannot be absorbed by the intestinal cells directly
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_22.wav,243296,they are first acted upon by bile salts to form small spherical droplets called micelles
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_24.wav,340262,as micelles enter the intestinal mucosa they are coated with protein to form small fat globules called the chylomicrons
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_25.wav,396270,which are transported into the lymph vessels called lacteals in the villi these lymph vessels ultimately release the absorbed substances into the bloodstream
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_26.wav,239952,besides the small intestine other parts of the digestive system also play a role in the absorption process
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_27.wav,270882,for example certain drugs are placed in the mouth under the tongue so that they can be absorbed directly into the blood capillaries
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_28.wav,299302,the stomach wall directly absorbs certain foods including simple sugars and alcohol and they do not remain in the stomach
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_29.wav,275898,while water some minerals such as potassium and sodium and drugs are absorbed in the large intestine
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_30.wav,301810,these absorbed nutrients are transported to different tissues of the body through the blood vessels and this process is called assimilation
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_31.wav,321872,however the digestive wastes pass through the large intestine where water is absorbed and waste is solidified into faeces
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_32.wav,341934,the faecal matter moves towards the rectum due to peristaltic waves in the walls of the colon which finally eliminates the waste through the anus
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_33.wav,234938,if the digestive system does not function as smoothly as it should it results in different types of disorders
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_34.wav,199828,inflammation of the intestinal tract takes place when there are bacterial or viral infections
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_36.wav,362832,tape worms round worms thread worms hook worms pin worms and others that usually infect the intestine
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_37.wav,310170,indigestion takes place when food is not properly digested and one experiences a feeling of fullness pain or heartburn
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_38.wav,338590,this usually takes place due to inadequate enzyme secretion anxiety food poisoning overeating and spicy food
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_39.wav,278404,constipation is another condition of the digestive system in which an individual has uncomfortable or infrequent bowel movements
/home/testuser/git-lfs-2.2.0/deepspeech/data/cmu/absorption_40.wav,337756,vomiting causes forceful contraction of the stomach and ejection of the stomach contents through the mouth this is preceded by a feeling of nausea
